# nn=2826
 1.000000000000000e+00 4.938673355182557e-02
 2.000000000000000e+00 4.938998897499223e-02
 4.000000000000000e+00 4.939650025099207e-02
 8.000000000000000e+00 4.940952452165828e-02
 1.600000000000000e+01 4.943557993765558e-02
 3.200000000000000e+01 4.948771826829597e-02
 6.400000000000000e+01 4.959210492394501e-02
 1.280000000000000e+02 4.980131820927368e-02
 2.560000000000000e+02 5.022150462097726e-02
 5.120000000000000e+02 5.106891592745529e-02
 1.024000000000000e+03 5.279187838157786e-02
 2.048000000000000e+03 5.635013762513851e-02
 4.096000000000000e+03 6.391242020484732e-02
 8.192000000000000e+03 8.076456119546957e-02
 1.638400000000000e+04 1.205881142524944e-01
 3.276800000000000e+04 2.162328410670851e-01
 6.553600000000000e+04 4.267471923792234e-01
 1.310720000000000e+05 8.533333774361807e-01
 2.621440000000000e+05 1.706666666666703e+00
 5.242880000000000e+05 3.413333333333287e+00
 1.048576000000000e+06 6.826666666666578e+00
 2.097152000000000e+06 1.365333333326311e+01
 4.194304000000000e+06 2.730663664444146e+01
 8.388608000000000e+06 5.456831300857979e+01
 1.677721600000000e+07 1.064022972183588e+02
 3.355443200000000e+07 1.856484774543494e+02
 6.710886400000000e+07 2.772998815172904e+02
 1.342177280000000e+08 3.739733307168283e+02
 2.684354560000000e+08 4.860281431849682e+02
 5.368709120000000e+08 6.245737747968128e+02
 1.073741824000000e+09 7.980996178808122e+02
 2.147483648000000e+09 1.016203522765635e+03
 4.294967296000000e+09 1.290803311130463e+03
 8.589934592000000e+09 1.636898930243187e+03
 1.717986918400000e+10 2.073472122859746e+03
 3.435973836800000e+10 2.624641609162028e+03
 6.871947673600000e+10 3.321192908118310e+03
 1.374389534720000e+11 4.202659074939951e+03
 2.748779069440000e+11 5.320271337174364e+03
 5.497558138880000e+11 6.741322244278508e+03
 1.099511627776000e+12 8.554061719478605e+03
 2.199023255552000e+12 1.089033059570285e+04
 4.398046511104000e+12 1.390872751752483e+04
 8.796093022208000e+12 1.770405061825849e+04
 1.759218604441600e+13 2.289036610680704e+04
 3.518437208883200e+13 3.136400567497534e+04
 7.036874417766400e+13 4.709550885679315e+04
 1.407374883553280e+14 7.786751541145430e+04
 2.814749767106560e+14 1.390427533742640e+05
 5.629499534213120e+14 2.612026791879594e+05
