# nn=2826
 1.000000000000000e+00 7.017617111601098e-01
 2.000000000000000e+00 7.030663809957808e-01
 4.000000000000000e+00 7.056809012499846e-01
 8.000000000000000e+00 7.109306633920531e-01
 1.600000000000000e+01 7.215130633484758e-01
 3.200000000000000e+01 7.430091946357000e-01
 6.400000000000000e+01 7.873240660757270e-01
 1.280000000000000e+02 8.812012759822265e-01
 2.560000000000000e+02 1.089281038118483e+00
 5.120000000000000e+02 1.577340831794282e+00
 1.024000000000000e+03 2.740097438000316e+00
 2.048000000000000e+03 5.201842901310449e+00
 4.096000000000000e+03 9.147778235243967e+00
 8.192000000000000e+03 1.377583637751341e+01
 1.638400000000000e+04 1.860838046031265e+01
 3.276800000000000e+04 2.416035731312974e+01
 6.553600000000000e+04 3.101721119155738e+01
 1.310720000000000e+05 3.960958650670428e+01
 2.621440000000000e+05 5.041606754272296e+01
 5.242880000000000e+05 6.402859135643617e+01
 1.048576000000000e+06 8.118994851643021e+01
 2.097152000000000e+06 1.028409769574473e+02
 4.194304000000000e+06 1.301789389148620e+02
 8.388608000000000e+06 1.647279217378625e+02
 1.677721600000000e+07 2.084464218769071e+02
 3.355443200000000e+07 2.638730379436749e+02
 6.710886400000000e+07 3.343387733128587e+02
 1.342177280000000e+08 4.242202008724277e+02
 2.684354560000000e+08 5.399847416462811e+02
 5.368709120000000e+08 6.896783454046115e+02
 1.073741824000000e+09 8.778798612742444e+02
 2.147483648000000e+09 1.133700634063639e+03
 4.294967296000000e+09 1.549231067084145e+03
 8.589934592000000e+09 2.318421244761714e+03
 1.717986918400000e+10 3.821532290892290e+03
 3.435973836800000e+10 6.808902779436830e+03
 6.871947673600000e+10 1.277389530652607e+04
 1.374389534720000e+11 2.469892305476655e+04
 2.748779069440000e+11 4.854647881799319e+04
 5.497558138880000e+11 9.624033516858774e+04
